Frequency_MHz,Mean,Std_Dev,Min,Max
1720.0,1699.5142900407618,408.24318481420437,865.4998555748001,2214.125561028552
1730.0,1689.6135997959248,361.8258191238666,871.5319844962662,2099.8173730112817
1740.0,1826.0707859170197,500.7414550647842,689.5106960736722,2443.602463577085
1750.0,1957.0345966240204,357.1451632273026,1287.1849129010175,2619.3497284631544
1760.0,1838.6326789160794,454.90116731206655,986.0020283954796,2598.90438454361
1770.0,1563.0496655648174,589.2997395024988,316.2688729546428,2555.8061350579783
1780.0,1504.645960354562,735.968677314937,310.3159680068043,2734.5288442435563
1790.0,1642.8061248031624,390.1125943996363,855.3952302883154,2443.0571012565383
1800.0,1530.539069595943,497.9615612076747,582.645689935144,2077.523766410387
1810.0,1568.7439328498563,648.1948728174007,528.8676583040411,2895.6023552967354
1820.0,1827.8980673964095,537.9797907063717,654.4073654842218,2812.746878053552
1830.0,1825.1748435940906,682.5330397213661,320.6555784638714,2895.6023552967354
1840.0,1573.6362161439226,625.7664254657951,308.7555667514353,2283.5069520367133
1850.0,1609.0976602871042,622.7297324350008,265.994360842481,2071.2472088092236
1860.0,1618.3210614615994,698.3756739963114,270.22398117117586,2283.5069520367133
1870.0,1782.8497068741253,274.0292004492292,1225.3146534666105,2236.6280423888097
1880.0,1809.8102706955056,610.2302713607869,705.0007092195013,2895.6023552967354
1890.0,1841.561479107052,639.3949004090092,584.452735471398,2896.309375740099
1900.0,1870.1071815060122,586.6179077386224,721.8697943535246,2896.309375740099
1910.0,1580.2740103925553,704.0969337227864,315.15869018638847,2896.309375740099
1920.0,1288.575849341773,700.8560768753658,312.1746306156219,2075.869456396524
1930.0,1556.9235427697683,562.6093511213911,237.69097584889505,2068.5707626281487
1940.0,1476.7535514613496,701.3326658913663,268.1510768205117,2486.755516732596
1950.0,1796.627008434445,548.4329243981417,386.64971227197367,2606.3092679112356
1960.0,1781.7090985671382,626.2051804984338,314.08438356594553,2896.309375740099
1970.0,1799.9386970557339,587.360712715199,727.176044709945,2896.309375740099
1980.0,1565.2627257072331,631.0649408036887,366.9564006799718,2706.2270784248685
1990.0,1570.8728310476324,604.9160509330164,321.0295936514264,2252.929204391474
2000.0,1424.4207969385402,546.2018978811531,314.0700558792576,2297.8398551683276
