Frequency_MHz,Mean,Std_Dev,Min,Max
1130.0,1507.5242756994382,648.4918489671895,265.8006772000403,2129.6384669703916
1140.0,1573.8085366957498,387.7159396047358,828.4020762890447,2072.2355078513638
1150.0,1443.5094584763856,428.066120230522,593.5494924604013,2080.170425710355
1160.0,1736.5374032053173,641.0718581164926,733.705663055697,2895.6023552967354
1170.0,1713.3404727219208,509.62898713968826,868.5395788333424,2895.6023552967354
1180.0,2037.433561917549,440.96145043752887,960.3520187931091,2866.764727004991
1190.0,1713.488556587165,514.7242042539236,281.4551474036316,2332.409269403636
1200.0,1633.2755924078415,485.19101315339316,323.5583409526016,2084.7623365746035
1210.0,1811.5677019952846,426.1733228247901,957.9519820951361,2732.4547571734834
1220.0,1593.213135939176,492.7103646878738,789.7651549669687,2361.626558116249
1230.0,1647.1606759720232,539.8994605770481,864.5559553898175,2816.812737829762
1240.0,1580.4798708190203,698.5533751517432,600.7004245045944,2895.6023552967354
1250.0,1856.595814797905,678.3261903206333,708.2464260411061,2894.895162177726
1260.0,1733.4857853883389,661.9310174456054,405.8792924010783,2894.895162177726
1270.0,1521.728693759424,627.0218996089665,368.65702217643974,2408.9643002751204
1280.0,1788.1843423076893,478.69104642307207,906.9432176272117,2894.895162177726
1290.0,1846.6531962928523,319.0971836625832,972.2556248230195,2381.2872569263877
1300.0,1593.7647341597642,557.4692566847572,307.3271872125862,2247.5304224859783
1310.0,1563.3256985268606,717.5772852630603,264.6431559666715,2894.895162177726
1320.0,1951.0325734811474,408.64754644501556,726.2816258174236,2738.3447555046823
1330.0,2044.9590217396908,386.7914158890383,1318.8457074275218,2896.309375740099
1340.0,2051.3081145008687,385.1991425002033,1343.3071130608964,2895.6023552967354
1350.0,1913.4502726040664,347.1628065784472,1146.290102897168,2623.883000440378
1360.0,1911.1645091416856,491.17709535077074,985.3730258130674,2896.309375740099
1370.0,1901.7990269600507,323.99651395316636,1227.923857574239,2633.750177978162
1380.0,1845.4399365459371,330.1466955783883,1267.6833200764297,2502.428420554722
1390.0,2101.868162448287,449.68810044992495,1205.2140888655424,2896.309375740099
1400.0,1941.5445784750755,411.57663902855495,1240.150394105489,2896.309375740099
1410.0,1839.1167921839317,524.4123422528155,1118.3492298919869,2894.895162177726
1420.0,1772.5201227986765,423.6225374950723,1004.681043913938,2401.9679431666027
1430.0,1949.6916585411093,210.0104678705787,1498.2286207385039,2279.961622484028
1440.0,1809.6900391913798,324.24478723874864,1252.5657667364214,2539.745656556971
1450.0,1745.9883649762567,324.442644187749,1186.1500748219005,2100.937409824481
1460.0,1793.072629829958,457.3094183970833,1002.694868840965,2753.1625451469445
1470.0,1944.779566453386,499.6127679567241,1017.4109297624042,2895.6023552967354
1480.0,1910.3524477549604,462.89917407209947,660.8032990232418,2684.6560301088853
1490.0,1794.990935869643,630.9367481339337,591.041453706929,2830.588984646128
1500.0,2029.74192352842,300.28433837139676,1380.789629161517,2633.6017162813364
1510.0,1950.9467202609771,502.38564340846415,1168.4665164222722,2894.895162177726
1520.0,1947.6383957732107,382.9923750023668,1348.4131414370006,2706.8808618038584
1530.0,1980.3696720059368,470.610754444795,1159.5145535955985,2894.895162177726
